result_record_id,study_reference_id,within_study_result_no,author_year,climate_exposure,exposure_unit,exposure_change,resistance_phenotype,priority_tier,sample_source_category,pathogen,pathogen_display,antibiotic,resistance_outcome_measure,effect_type,estimate,ci_lower,ci_upper,p_value_reported,is_adjusted_result,sample_size,study_unit,data_coverage,geographic_region,income_level,time_lag,confounder_adjustment,climate_data_source,amr_data_source,quality_rating,runoff_type,amr_type,region_type,is_significant
RID_56-45,56,45,Li (2025),Annual surface runoff total,100mm,per 100mm increase,3GCREC,Key,Clinical,Escherichia coli,E. coli,third-generation cephalosporin,Resistance Rate (%),OR,1.16,0.97,1.39,>0.05,True,5747688,country-year,Regional,Europe,HICs,3year,"AMC, Health expenditure (% GDP), Out-of-pocket health expenses, Population density, Urban population, International tourism, Immunization coverage, WASH services, CPI,PM2.5,Temperature change",ERA5,EARS-Net,High,Surface,3GC-R,Europe,False
RID_56-46,56,46,Li (2025),Annual surface runoff total,100mm,per 100mm increase,CREC,Key,Clinical,Escherichia coli,E. coli,carbapenem,Resistance Rate (%),OR,1.64,0.96,2.77,>0.05,True,5745974,country-year,Regional,Europe,HICs,4year,"AMC, Health expenditure (% GDP), Out-of-pocket health expenses, Population density, Urban population, International tourism, Immunization coverage, WASH services, CPI,PM2.5,Temperature change",ERA5,EARS-Net,High,Surface,CR,Europe,False
RID_56-8,56,8,Li (2025),Annual sub-surface runoff total,100mm,per 100mm increase,3GCRKP,Key,Clinical,Klebsiella pneumoniae,K. pneumoniae,third-generation cephalosporin,Resistance Rate (%),OR,1.03,0.97,1.09,>0.05,True,4973588,country-year,Global,Global,Global mixed,0year,"AMC, Health expenditure (% GDP), Out-of-pocket health expenses, Population density, Urban population, International tourism, Immunization coverage, WASH services, CPI,PM2.5,Temperature change",ERA5,"EARS-Net, ResistanceMap, CAESAR,CRASS",High,Sub-surface,3GC-R,Global,False
RID_56-24,56,24,Li (2025),Annual sub-surface runoff total,100mm,per 100mm increase,CRKP,Key,Clinical,Klebsiella pneumoniae,K. pneumoniae,carbapenem,Resistance Rate (%),OR,0.74,0.62,0.88,<0.05,True,4968993,country-year,Global,Global,Global mixed,3year,"AMC, Health expenditure (% GDP), Out-of-pocket health expenses, Population density, Urban population, International tourism, Immunization coverage, WASH services, CPI,PM2.5,Temperature change",ERA5,"EARS-Net, ResistanceMap, CAESAR,CRASS",High,Sub-surface,CR,Global,True
RID_56-54,56,54,Li (2025),Annual sub-surface runoff total,100mm,per 100mm increase,3GCRKP,Key,Clinical,Klebsiella pneumoniae,K. pneumoniae,third-generation cephalosporin,Resistance Rate (%),OR,0.97,0.9,1.05,>0.05,True,3302462,country-year,Regional,Europe,HICs,2year,"AMC, Health expenditure (% GDP), Out-of-pocket health expenses, Population density, Urban population, International tourism, Immunization coverage, WASH services, CPI,PM2.5,Temperature change",ERA5,EARS-Net,High,Sub-surface,3GC-R,Europe,False
RID_56-55,56,55,Li (2025),Annual sub-surface runoff total,100mm,per 100mm increase,CRKP,Key,Clinical,Klebsiella pneumoniae,K. pneumoniae,carbapenem,Resistance Rate (%),OR,0.78,0.63,0.96,<0.05,True,3364008,country-year,Regional,Europe,HICs,3year,"AMC, Health expenditure (% GDP), Out-of-pocket health expenses, Population density, Urban population, International tourism, Immunization coverage, WASH services, CPI,PM2.5,Temperature change",ERA5,EARS-Net,High,Sub-surface,CR,Europe,True
RID_56-7,56,7,Li (2025),Annual surface runoff total,100mm,per 100mm increase,3GCRKP,Key,Clinical,Klebsiella pneumoniae,K. pneumoniae,third-generation cephalosporin,Resistance Rate (%),OR,0.96,0.88,1.03,>0.05,True,4973588,country-year,Global,Global,Global mixed,3year,"AMC, Health expenditure (% GDP), Out-of-pocket health expenses, Population density, Urban population, International tourism, Immunization coverage, WASH services, CPI,PM2.5,Temperature change",ERA5,"EARS-Net, ResistanceMap, CAESAR,CRASS",High,Surface,3GC-R,Global,False
RID_56-23,56,23,Li (2025),Annual surface runoff total,100mm,per 100mm increase,CRKP,Key,Clinical,Klebsiella pneumoniae,K. pneumoniae,carbapenem,Resistance Rate (%),OR,1.41,1.07,1.86,<0.05,True,4968993,country-year,Global,Global,Global mixed,3year,"AMC, Health expenditure (% GDP), Out-of-pocket health expenses, Population density, Urban population, International tourism, Immunization coverage, WASH services, CPI,PM2.5,Temperature change",ERA5,"EARS-Net, ResistanceMap, CAESAR,CRASS",High,Surface,CR,Global,True
RID_56-47,56,47,Li (2025),Annual surface runoff total,100mm,per 100mm increase,3GCRKP,Key,Clinical,Klebsiella pneumoniae,K. pneumoniae,third-generation cephalosporin,Resistance Rate (%),OR,0.96,0.79,1.16,>0.05,True,3302462,country-year,Regional,Europe,HICs,4year,"AMC, Health expenditure (% GDP), Out-of-pocket health expenses, Population density, Urban population, International tourism, Immunization coverage, WASH services, CPI,PM2.5,Temperature change",ERA5,EARS-Net,High,Surface,3GC-R,Europe,False
RID_56-48,56,48,Li (2025),Annual surface runoff total,100mm,per 100mm increase,CRKP,Key,Clinical,Klebsiella pneumoniae,K. pneumoniae,carbapenem,Resistance Rate (%),OR,1.99,1.11,3.53,<0.05,True,3364008,country-year,Regional,Europe,HICs,0year,"AMC, Health expenditure (% GDP), Out-of-pocket health expenses, Population density, Urban population, International tourism, Immunization coverage, WASH services, CPI,PM2.5,Temperature change",ERA5,EARS-Net,High,Surface,CR,Europe,True
RID_56-28,56,28,Li (2025),Annual sub-surface runoff total,100mm,per 100mm increase,CRPA,High,Clinical,Pseudomonas aeruginosa,P. aeruginosa,carbapenem,Resistance Rate (%),OR,0.9,0.84,0.97,<0.05,True,2933968,country-year,Global,Global,Global mixed,0year,"AMC, Health expenditure (% GDP), Out-of-pocket health expenses, Population density, Urban population, International tourism, Immunization coverage, WASH services, CPI,PM2.5,Temperature change",ERA5,"EARS-Net, ResistanceMap, CAESAR,CRASS",High,Sub-surface,CR,Global,True
RID_56-56,56,56,Li (2025),Annual sub-surface runoff total,100mm,per 100mm increase,CRPA,High,Clinical,Pseudomonas aeruginosa,P. aeruginosa,carbapenem,Resistance Rate (%),OR,0.95,0.89,1.01,>0.05,True,1560535,country-year,Regional,Europe,HICs,2year,"AMC, Health expenditure (% GDP), Out-of-pocket health expenses, Population density, Urban population, International tourism, Immunization coverage, WASH services, CPI,PM2.5,Temperature change",ERA5,EARS-Net,High,Sub-surface,CR,Europe,False
RID_56-27,56,27,Li (2025),Annual surface runoff total,100mm,per 100mm increase,CRPA,High,Clinical,Pseudomonas aeruginosa,P. aeruginosa,carbapenem,Resistance Rate (%),OR,1.18,1.03,1.36,<0.05,True,2933968,country-year,Global,Global,Global mixed,0year,"AMC, Health expenditure (% GDP), Out-of-pocket health expenses, Population density, Urban population, International tourism, Immunization coverage, WASH services, CPI,PM2.5,Temperature change",ERA5,"EARS-Net, ResistanceMap, CAESAR,CRASS",High,Surface,CR,Global,True
RID_56-49,56,49,Li (2025),Annual surface runoff total,100mm,per 100mm increase,CRPA,High,Clinical,Pseudomonas aeruginosa,P. aeruginosa,carbapenem,Resistance Rate (%),OR,1.04,0.88,1.22,>0.05,True,1560535,country-year,Regional,Europe,HICs,0year,"AMC, Health expenditure (% GDP), Out-of-pocket health expenses, Population density, Urban population, International tourism, Immunization coverage, WASH services, CPI,PM2.5,Temperature change",ERA5,EARS-Net,High,Surface,CR,Europe,False
