study_id,author_year,article_title,study_design,climate_factors,sample_source,seasonality_subtype
69,Schages et al. (2020),Winter is coming – Impact of temperature on the variation of beta-lactamase and mcr genes in a wastewater treatment plant,Time-series study,Ambient temperature; Seasonality; Precipitation,Clinical isolates,Seasonality with other climate factors
71,Mira et al. (2022),"Evolution of antibiotic resistance impacts optimal
temperature and growth rate in Escherichia coli and
Staphylococcus epidermidis",Cross-sectional study,Ambient temperature,Laboratory isolates,No seasonality
72,Miller et al. (2021),Elevation of antibiotic resistance genes in biosolid storage under varying temperature conditions,Laboratory experiment,Ambient temperature,Wastewater,No seasonality
73,Li et al. (2020),Contrasting distribution of antibiotic resistance genes and microbial communities in suspended activated sludge versus attached biofilms in an integrated fixed film activated sludge (IFAS) system,Cross-sectional study,Ambient temperature,Wastewater,No seasonality
74,Kim et al. (2008),Differential Effects of Temperature on Natural Transformation to Erythromycin and Nalidixic Acid Resistance in Campylobacter coli,Laboratory experiment,Ambient temperature,Laboratory isolates,No seasonality
75,Huang et al. (2019),Higher Temperatures Do Not Always Achieve Better Antibiotic Resistance Gene Removal in Anaerobic Digestion of Swine Manure,Laboratory experiment,Ambient temperature,Wastewater,No seasonality
76,Grilo et al. (2021),"Climatic Alterations Influence Bacterial Growth, Biofilm Production and Antimicrobial Resistance Profiles in Aeromonas spp.",Modeling study,Ambient temperature; Precipitation; Relative humidity,Environmental water,No seasonality
77,Gong et al. (2020),Low-temperature laminar flow ward for the treatment of multidrug resistance Acinetobacter baumannii pneumonia,Modeling study,Ambient temperature; Seasonality,Laboratory isolates,Seasonality with other climate factors
79,Zhu et al. (2023),Unraveling antibiotic resistomes associated with bacterial and viral communities in intertidal mudflat aquaculture area,Cross-sectional study,Ambient temperature; Seasonality,Soil/agricultural sources,Seasonality with other climate factors
80,Zhou et al. (2018),Occurrence and Distribution of Urban Dust-Associated Bacterial Antibiotic Resistance in Northern China,Cross-sectional study,Seasonality,Environmental water,Seasonality only
81,Zdragas et al. (2012),"Prevalence, seasonal occurrence and antimicrobial resistance of Salmonella in poultry retail products in Greece",Cross-sectional study,Seasonality,Soil/agricultural sources,Seasonality only
82,Yuan et al. (2014),Monitoring and assessing the impact of wastewater treatment on release of both antibiotic-resistant bacteria and their typical genes in a Chinese municipal wastewater treatment plant,Time-series study,Ambient temperature,Wastewater,No seasonality
83,Yu et al. (2023),An extensive assessment of seasonal rainfall on intracellular and extracellular antibiotic resistance genes in Urban River systems,Cross-sectional study,Seasonality; Precipitation; Extreme weather events,Environmental water,Seasonality with other climate factors
84,Xu et al. (2020),"Characteristics of antibiotics and antibiotic resistance genes in Qingcaosha Reservoir in Yangtze River Delta, China",Cross-sectional study,Ambient temperature; Seasonality; Precipitation,Environmental water,Seasonality with other climate factors
85,Xie et al. (2018),Seasonal Disparities in Airborne Bacteria and Associated Antibiotic Resistance Genes in PM2.5 between Urban and Rural Sites,Time-series study,Ambient temperature; Seasonality,Air/aerosol,Seasonality with other climate factors
86,Xie et al. (2019),Bacteria and Antibiotic Resistance Genes (ARGs) in PM2.5 from China: Implications for Human Exposure,Time-series study,Seasonality,Air/aerosol,Seasonality only
87,Xiao et al. (2024),Spatial Distribution and Seasonal Variation of Antibiotic-Resistant Bacteria in an Urban River in Northeast China,Cross-sectional study,Seasonality,Environmental water,Seasonality only
88,Xiang et al. (2021),Seasonal change is a major driver of soil resistomes at a watershed scale,Time-series study,Ambient temperature; Seasonality; Precipitation,Soil/agricultural sources,Seasonality with other climate factors
89,Wu et al. (2022),"Antibiotic resistance genes in Chishui River, a tributary of the Yangtze River, China: Occurrence, seasonal variation and its relationships with antibiotics, heavy metals and microbial communities",Cross-sectional study,Seasonality; Precipitation,Environmental water,Seasonality with other climate factors
90,Wu et al. (2024),"Non-negligible roles of upstream rivers in determining the antibiotic resistance genes community in an interconnected river-lake system (Dongting lake, China)",Time-series study,Ambient temperature; Seasonality,Soil/agricultural sources,Seasonality with other climate factors
91,Wu et al. (2020),Contamination profile of antibiotic resistance genes in ground water in comparison with surface water,Time-series study,Seasonality,Soil/agricultural sources,Seasonality only
93,Wang et al. (2024),Wastewater surveillance for antibiotics and resistance genes in a river catchment: Spatiotemporal variations and the main drivers,Time-series study,Ambient temperature; Seasonality; Precipitation,Wastewater,Seasonality with other climate factors
94,Wang et al. (2022),Seasonal distribution of antibiotic resistance genes under the influence of land-ocean interaction in a semi-enclosed bay,Time-series study,Ambient temperature; Seasonality; Precipitation,Wastewater,Seasonality with other climate factors
95,Wang et al. (2020),"Occurrence, distribution, and source track of antibiotics and antibiotic resistance genes in the main rivers of Chongqing city, southwest China",Time-series study,Ambient temperature; Seasonality; Precipitation,Soil/agricultural sources,Seasonality with other climate factors
96,Wang et al. (2025),Effect of cyanobacterial bloom proliferation on antibiotic resistance genes in the sediments of a eutrophic lake,Time-series study,Ambient temperature; Seasonality; Precipitation,Soil/agricultural sources,Seasonality with other climate factors
98,van Hees et al. (2007),Regional and seasonal differences in incidence and antibiotic resistance of Campylobacter from a nationwide surveillance study in The Netherlands: an overview of 2000–2004,Cross-sectional study,Seasonality,Clinical isolates,Seasonality only
99,Le et al. (2021),Prevalence of antibiotic resistance genes in the Saigon River impacted by anthropogenic activities and their relation to environmental factors,Cross-sectional study,Ambient temperature; Seasonality; Precipitation,Environmental water,Seasonality with other climate factors
100,Tavares et al. (2024),ntegron-associated genes are reliable indicators of antibiotic resistance in wastewater despite treatment- and seasonality-driven fluctuations,Time-series study,Seasonality; Precipitation,Wastewater,Seasonality with other climate factors
101,Talsma et al. (1999),Resistance in Campylobacter Species: Increased Resistance to Fluoroquinolones and Seasonal Variation,Time-series study,Ambient temperature; Seasonality,Clinical isolates,Seasonality with other climate factors
102,Sun et al. (2012),Seasonality and Temporal Correlation between Community Antibiotic Use and Resistance in the United States,Time-series study,Ambient temperature; Seasonality,Clinical isolates,Seasonality with other climate factors
103,Sun et al. (2022),Analysis of multiple bacterial species and antibiotic classes reveals large variation in the association between seasonal antibiotic use and resistance,Modeling study,Ambient temperature; Seasonality,Clinical isolates,Seasonality with other climate factors
106,Soucy et al. (2020),Fluoroquinolone Use and Seasonal Patterns of Ciprofloxacin Resistance in Community-Acquired Urinary Escherichia coli Infection in a Large Urban Center,Modeling study,Ambient temperature; Seasonality,Clinical isolates,Seasonality with other climate factors
110,Siedlecka & Piekarska (2019),Antibiotic resistance in tap water during the summer season – preliminary research,Cross-sectional study,Seasonality,Wastewater,Seasonality only
111,Rossi et al. (2024),Temporal variations of antimicrobial resistance genes in aerosols: A one-year monitoring at the puy de Dôme summit (Central France),Ecological study,Seasonality,Air/aerosol,Seasonality only
112,Rao et al. (2024),"Determining the spatiotemporal variation, sources, and ecological processes of antibiotic resistance genes in a typical lake of the middle reaches of the Yangtze River",Ecological study,Ambient temperature; Seasonality,Soil/agricultural sources,Seasonality with other climate factors
113,Ramsey et al. (2019),Seasonal variation in antimicrobial resistance rates of community-acquired Escherichia coli bloodstream isolates,Time-series study,Seasonality,Clinical isolates,Seasonality only
114,Polianciuc et al. (2024),Antibiotic Residues and Resistance in Three Wastewater Treatment Plants in Romania,Time-series study,Ambient temperature; Seasonality; Precipitation; Interaction/Composite exposure,Clinical isolates,Seasonality with other climate factors
115,Peng et al. (2019),An extensively shared antibiotic resistome among four seasons suggests management prioritization in a subtropical riverine ecosystem,Ecological study,Ambient temperature; Seasonality; Precipitation,Environmental water,Seasonality with other climate factors
116,Pan et al. (2020),"Seasonal variation of antibiotics in surface water of Pudong New Area of Shanghai, China and the occurrence in typical wastewater sources",Cross-sectional study,Ambient temperature; Seasonality; Precipitation,Wastewater,Seasonality with other climate factors
117,Pak & King (2022),Impact of seasonal variations on microbiome diversity and antibiotic resistance in aerosolized bacteria in a dairy facility,Cross-sectional study,Ambient temperature; Seasonality; Relative humidity,Air/aerosol,Seasonality with other climate factors
119,Oktaviani & Priadi (2024),Contamination analysis of antimicrobial resistance in Escherichia coli in the domestic environment,Ecological study,Ambient temperature; Seasonality; Precipitation,Animal sources,Seasonality with other climate factors
120,Oguttu et al. (2017),An Exploratory Descriptive Study of Antimicrobial Resistance Patterns of Staphylococcus Spp. Isolated from Horses Presented at a Veterinary Teaching Hospital,Cross-sectional study,Ambient temperature; Seasonality; Precipitation; Relative humidity,Clinical isolates,Seasonality with other climate factors
121,O’Malley et al. (2022),Seasonal and spatial patterns differ between intracellular and extracellular antibiotic resistance genes in urban stormwater runoff,Time-series study,Seasonality; Precipitation; Extreme weather events,Environmental water,Seasonality with other climate factors
122,Neher et al. (2020),Seasonal variations in export of antibiotic resistance genes and bacteria in runoff from an agricultural watershed in Iowa,Time-series study,Ambient temperature; Seasonality; Precipitation,Environmental water,Seasonality with other climate factors
124,Mohanty et al. (2004),Seasonality and antimicrobial resistance pattern of Vibrio cholerae in a tertiary care hospital of North India,Cohort study,Seasonality,Clinical isolates,Seasonality only
125,Mohanta & Goel (2014),Prevalence of antibiotic-resistant bacteria in three different aquatic environments over three seasons,Cross-sectional study,Seasonality; Precipitation,Wastewater,Seasonality with other climate factors
126,Michel et al. (2006),"Regional, Seasonal, and Antimicrobial Resistance Distributions of Salmonella Typhimurium in Canada: A Multi-Provincial Study",Ecological study,Seasonality,Clinical isolates,Seasonality only
127,McDonnell & Treonis (2004),A Survey of Antibiotic Resistance Among Coliform Bacteria Isolated from the Missouri River,Time-series study,Ambient temperature; Seasonality; Precipitation,Environmental water,Seasonality with other climate factors
128,Martínez et al. (2020),"Trends, seasonality and the association between outpatient antibiotic use and antimicrobial resistance among urinary bacteria in the Netherlands",Modeling study,Seasonality,Clinical isolates,Seasonality only
129,Maripandi & Al-Salamah (2010),Multiple-Antibiotic Resistance and Plasmid Profiles of Salmonella enteritidis Isolated from Retail Chicken Meats,Cross-sectional study,Seasonality,Animal sources,Seasonality only
130,Marco et al. (2000),"Streptococcus pneumoniae in community-acquired respiratory tract infections in Spain: the impact of serotype and geographical, seasonal and clinical factors on its susceptibility to the most commonly prescribed antibiotics ",Cohort study,Seasonality,Clinical isolates,Seasonality only
131,Luiken et al. (2022),Determinants for antimicrobial resistance genes in farm dust on 333 poultry and pig farms in nine European countries,Ecological study,Ambient temperature,Soil/agricultural sources,No seasonality
132,Lu & Lu (2020),Seasonal variations in antibiotic resistance genes in estuarine sediments and the driving mechanisms,Cross-sectional study,Ambient temperature; Seasonality,Soil/agricultural sources,Seasonality with other climate factors
133,Lu et al. (2020),Continental-scale spatio-temporal distribution of antibiotic resistance genes in coastal waters along the coastline of China,Cross-sectional study,Ambient temperature; Seasonality,Environmental water,Seasonality with other climate factors
134,Lobova et al. (2002),Geographical and seasonal distribution of multiple antibiotic resistance of heterotrophic bacteria of Lake Shira,Cross-sectional study,Ambient temperature; Seasonality,Environmental water,Seasonality with other climate factors
135,Lobova et al. (2008),Multiple antibiotic resistance of heterotrophic bacteria in the littoral zone of Lake Shira as an indicator of human impact on the ecosystem,Cross-sectional study,Ambient temperature; Seasonality,Environmental water,Seasonality with other climate factors
136,Liu et al. (2023),Spatiotemporal distributions of sulfonamide and tetracycline resistance genes and microbial communities in the coastal areas of the Yangtze River Estuary,Cross-sectional study,Ambient temperature; Seasonality; Precipitation,Soil/agricultural sources,Seasonality with other climate factors
137,Liu et al. (2020),Spatial and seasonal variations of antibiotics and ARGs in coral reef regions in South China Sea,Cross-sectional study,Ambient temperature; Seasonality; Precipitation,Environmental water,Seasonality with other climate factors
138,Liu et al. (2023),Antibiotic resistant genes profile in the surface water of subtropical drinking water river-reservoir system,Cross-sectional study,Ambient temperature; Seasonality,Environmental water,Seasonality with other climate factors
139,Xia et al. (2015),"Serotypes, seasonal trends, and antibioticresistance of non-typhoidal Salmonella fromhuman patients in Guangdong Province, China,2009–2012",Time-series study,Seasonality,Clinical isolates,Seasonality only
140,Wang et al. (2020),Spatial and seasonal variations of antibiotic resistance genes and antibiotics in the surface waters of Poyang Lake in China,Time-series study,Ambient temperature; Seasonality,Environmental water,Seasonality with other climate factors
141,Li et al. (2025),Dynamics of antibiotic resistance genes and bacterial community structure within substrate biofilms,Cross-sectional study,Ambient temperature; Seasonality; Precipitation,Environmental water,Seasonality with other climate factors
142,Li et al. (2019),"Occurrence and removal of antibiotics and antibiotic resistance genes in natural and constructed riverine wetlands in Beijing, China",Cross-sectional study,Ambient temperature; Seasonality,Soil/agricultural sources,Seasonality with other climate factors
143,Li et al. (2025),Linking Antibiotic Residues and Antibiotic Resistance Genes to Water Quality Parameters in Urban Reservoirs: A Seasonal Perspective,Cross-sectional study,Ambient temperature; Seasonality,Environmental water,Seasonality with other climate factors
144,Li et al. (2021),Fate of antibiotic resistance genes in abandoned swine feedlots in China: seasonal variation,Cross-sectional study,Ambient temperature; Seasonality; Precipitation,Environmental water,Seasonality with other climate factors
145,Li-Juan Li et al. (2024),"Spatiotemporal Changes of Antibiotic Resistance, Potential Pathogens, and Health Risk in Kindergarten Dust",Cross-sectional study,Ambient temperature; Seasonality,Environmental water,Seasonality with other climate factors
146,Kumar et al. (2020),Seasonality impels the antibiotic resistance in Kelani River of the emerging economy of Sri Lanka,Cross-sectional study,Ambient temperature; Seasonality; Precipitation,Environmental water,Seasonality with other climate factors
147,Kolonitsiou F. et al. (2017),Trends of Bloodstream Infections in a University Greek Hospital during a Three-Year Period: Incidence of Multidrug-Resistant Bacteria and Seasonality in Gram-negative Predominance,Time-series study,Seasonality,Clinical isolates,Seasonality only
149,Kim et al. (2022),Metagenomics indicate that public health risk may be higher from flooding following dry versus rainy periods,Cross-sectional study,Precipitation; Extreme weather events,Environmental water,No seasonality
151,Ke et al. (2023),Seasonal variations of microbial community and antibiotic resistome in a suburb drinking water distribution system in a northern Chinese city,Cross-sectional study,Ambient temperature; Seasonality,Environmental water,Seasonality with other climate factors
152,Javvadi & Mohan et al. (2024),Temporal dynamics and persistence of resistance genes to broad spectrum antibiotics in an urban community,Cross-sectional study,Ambient temperature; Seasonality,Wastewater,Seasonality with other climate factors
153,Jałowiecki et al. (2022),Seasonal and Technological Shifts of the WHO Priority Multi-Resistant Pathogens in Municipal Wastewater Treatment Plant and Its Receiving Surface Water: A Case Study,Time-series study,Ambient temperature; Seasonality; Precipitation,Wastewater,Seasonality with other climate factors
154,Ito et al. (2025),Analysis of Drug-Resistant Bacteria Seasonality in Japan Using Financial Time Series Analysis Method: A Nationwide Longitudinal Study,Modeling study,Ambient temperature; Seasonality; Relative humidity,Clinical isolates,Seasonality with other climate factors
155,Islam et al. (2025),Occurrence of Antibiotic-Resistant Bacteria in Urban Surface Water Sources in Bangladesh,Cross-sectional study,Seasonality; Precipitation,Environmental water,Seasonality with other climate factors
156,Huang et al. (2019),Diverse and abundant antibiotics and antibiotic resistance genes in an urban water system,Cross-sectional study,Ambient temperature; Seasonality; Precipitation; Relative humidity,Wastewater,Seasonality with other climate factors
157,Hou et al. (2021),"Fecal pollution mediates the dominance of stochastic assembly of antibioticresistome in an urban lagoon (Yundang lagoon), China",Time-series study,Ambient temperature; Seasonality; Precipitation,Animal sources,Seasonality with other climate factors
158,Hoberman et al. (2005),Penicillin Susceptibility of Pneumococcal Isolates Causing Acute Otitis Media in Children: Seasonal Variation,Cohort study,Ambient temperature; Seasonality,Clinical isolates,Seasonality with other climate factors
159,Hobeika et al. (2022),Resistome Diversity and Dissemination of WHO Priority Antibiotic Resistant Pathogens in Lebanese Estuaries,Cross-sectional study,Ambient temperature; Seasonality,Environmental water,Seasonality with other climate factors
160,Herrig et al. (2020),"Prevalence and seasonal dynamics of blaCTX-M antibiotic resistance genes and fecal indicator organisms in the lower Lahn River, Germany",Time-series study,Ambient temperature; Seasonality; Precipitation; Relative humidity,Environmental water,Seasonality with other climate factors
