evidence_record_id,study_reference_id,within_study_evidence_no,author_year,title,evidence_source_category,pathway_level_1_category,pathogen,original_quote,evidence_type_category,mechanism_support_category,effect_direction_category,time_scale_category,spatial_context_category,extraction_date
EVID_006-M1,6,1,Di Cesareet al. (2017),Rainfall increases the abundance of antibiotic resistance genes within a riverine microbial community,Results and discussion integration,Environment-mediated pathways,"ARGs (tetA, ermB,
blaCTXM, sulII, and qnrS)","“We found an increase of N-NH4 and TP concentrations during
the rain event, as a result of runoff entering the river and of soil
resuspension, with a consequent release of previously bounded P
and N. In particular, stormwater originating during the event may
have delivered nutrients deriving from residential or agricultural
areas to the river (Hathaway et al., 2012). Altogether, our results
support the hypothesis that the ARGs, nutrients, and aggregates
found in the Toce water during the rain event derive from the
catchment.”",Observational,Indirect empirical support,Promoting AMR,Observational cumulative/seasonal,Natural environment,2025-12-26
EVID_7-M1,7,1,Garner et al. (2017),Stormwater loadings of antibiotic resistance genes in an urban stream,Review synthesis,Environment-mediated pathways,环境细菌群落（stormwater/urban stream microbes）,"“Stormwater in particular possesses many characteristics that may lead to the selection and amplification of these genes… It also frequently contains substantial quantities of heavy metals… and antibiotics… which are both well-known to select bacteria that possess ARGs, even at sub-inhibitory concentrations…”",Review-based,Review-based support,Promoting AMR,Conceptual or unclear,Built or engineered environment,2025-12-26
EVID_7-M2,7,2,Garner et al. (2017),Stormwater loadings of antibiotic resistance genes in an urban stream,Review synthesis,Direct biological mechanisms,环境细菌群落（stormwater/urban stream microbes）,"“At low levels, heavy metals and antibiotics have also been observed to stimulate horizontal gene transfer”",Review-based,Review-based support,Promoting AMR,Conceptual or unclear,Built or engineered environment,2025-12-26
EVID_7-M3,7,3,Garner et al. (2017),Stormwater loadings of antibiotic resistance genes in an urban stream,Results and discussion integration,Direct biological mechanisms,"sul1,
sul2, tet(W), erm(F) and 16S genes,","“ARG concentrations were also compared among defined portions of each storm: rising limb, peak flow, falling limb, and established baseline… both absolute (gene copies/L) and relative (gene copies/16S rRNA gene copies) abundances are considered. During storm 1, the ab-
solute concentration (gene copies per L) of sul1, sul2, tet(W), and
16S rRNA genes all trended higher during the peak and rising limb
of the storm compared to the baseline, but were only significantly
greater during the rising limb (p ¼ 0.0119; 0.0138; 0.0138; 0.0119).
In terms ofrelative abundance, only tet(W) and erm(F) were greater
during the rising limb (p ¼ 0.0138; 0.0138), while sul2 fell below the
baseline (p ¼ 0.0138) (Fig. 2).”",Observational,Indirect empirical support,Promoting AMR,Observational cumulative/seasonal,Natural environment,2025-12-26
EVID_7-M4,7,4,Garner et al. (2017),Stormwater loadings of antibiotic resistance genes in an urban stream,Discussion interpretation,Direct biological mechanisms,"five ARGs (sul1, sul2, tet(O), tet(W), and erm(F))","“The apparent ubiquity of sul1… suggests that it is not introduced to the watershed exclusively during times of rainfall… sul1 is widely associated with plasmids and transposons, making it prone to horizontal gene transfer… Additionally, sul1 tends to reside adjacent to the class 1 integron and a variable number of additional antibiotic ARGs, enabling selection not only by sulfonamide antibiotics, but other antibiotics as well.”",Theoretical/projection,Theoretical support,Promoting AMR,Conceptual or unclear,Natural environment,2025-12-26
EVID_008-M1,8,1,MacFadden (2018),Antibiotic resistance increases with local temperature,Results,Environment-mediated pathways,E.coli; K.pneumoniae; S.aureus,"“a 10 °C increase in minimum temperature…was associated with an increase in antibiotic resistance of 4.2%, 2.2% and 2.7% for E. coli, K. pneumoniae and S. aureus, respectively.”",Observational,Indirect empirical support,Promoting AMR,Observational cumulative/seasonal,Within host / clinical,2025-12-25
EVID_008-M2,8,2,MacFadden (2018),Antibiotic resistance increases with local temperature,Results and discussion integration,Host susceptibility pathways,K. pneumoniae; E. coli,"“we found that
an increase in population density ...from Bismarck, North Dakota, to
Boston, Massachusetts, was associated with a 6% increase in anti-
biotic resistance for K. pneumoniae (P < 0.0001) and 3% for E. coli
(P = 0.086). This may reflect increased transmission rates within
dense populations20
. """,Observational,Indirect empirical support,Promoting AMR,Observational cumulative/seasonal,Within host / clinical,2025-12-25
EVID_008-M3,8,3,MacFadden (2018),Antibiotic resistance increases with local temperature,Results and discussion integration,Direct biological mechanisms,E.coli; K.pneumoniae; S.aureus,"“temperature may facilitate horizontal gene transfer…(for example, plasmid-borne…ESBLs) or the uptake of free genetic material… Increased gene transfer…might then be expected to facilitate population transmission.”",Theoretical/projection,Theoretical support,Promoting AMR,Conceptual or unclear,Mixed or unspecified,2025-12-25
EVID_008-M4,8,4,MacFadden (2018),Antibiotic resistance increases with local temperature,Results and discussion integration,Direct biological mechanisms,E.coli; K.pneumoniae; S.aureus,“temperature is…a potent modifier of bacterial growth rates…may drive increased carriage and transmission… temperature may support the environmental growth of resistant strains… Increased population-level transmission may thus facilitate…selection of resistant strains.”,Theoretical/projection,Theoretical support,Promoting AMR,Conceptual or unclear,Mixed or unspecified,2025-12-25
EVID_9-M1,9,1,Ahmed et al. (2018),Precipitation influences pathogenic bacteria and antibiotic resistance gene abundance in storm drain outfalls in coastal sub-tropical waters,Results and discussion integration,Environment-mediated pathways,雨水排口（SDO）微生物群落,"“Several ARGs were equally prevalent in both dry and wet weather periods also
suggesting point and nonpoint sources of pollution may be contributing
factors. This is also supported by the fact that some of the sites had high
FIB counts but were negative for the crAssphage and the HF183 mar-
kers. This suggested that fecal contamination of stormwater was diffuse
and included other potential point and nonpoint sources such as sani-
tary cross connections. During the sample collection, we observed shore
birds and dogs around the vicinity of SDO sites.”",Observational,Indirect empirical support,Promoting AMR,Observational cumulative/seasonal,Natural environment,2025-12-29
EVID_9-M2,9,2,Ahmed et al. (2018),Precipitation influences pathogenic bacteria and antibiotic resistance gene abundance in storm drain outfalls in coastal sub-tropical waters,Discussion interpretation,Environment-mediated pathways,雨水排口水体/沉积物-土壤相关微生物群落,"“These animals may have also contributed high FIB counts. Sediments and soils also can be
important reservoirs for ARGs due to their ability to retain antibiotic
compounds as well as representing important environmental matrix
within which horizontal gene transfer can take place (Taylor et al.,
2011). LaPara et al. (2011) detected ARGs encoding resistance to tet-
racycline in water and sediment samples affected by sewage. Storm
events can agitate and mix sediments and stimulate processes leading to
release of bacteria and associated ARGs into water. The abundance of
aminoglycosides, integrons, heavy metals, sulfonamides, tetracycline,
and β-lactam resistance genes in SDOs is alarming.”",Theoretical/projection,Theoretical support,Promoting AMR,Conceptual or unclear,Natural environment,2025-12-29
EVID_9-M3,9,3,Ahmed et al. (2018),Precipitation influences pathogenic bacteria and antibiotic resistance gene abundance in storm drain outfalls in coastal sub-tropical waters,Discussion interpretation,Direct biological mechanisms,stormwater样品中的多样细菌（含潜在病原体）,"“This is because ARGs carried by bacteria can be transferred to other bacteria including di-
verse pathogens found in stormwater samples (Williams et al., 2016).
Stormwater contaminated with such clinically significant bacteria can
then be transferred to humans via direct or indirect exposures.”",Theoretical/projection,Theoretical support,Promoting AMR,Conceptual or unclear,Mixed or unspecified,2025-12-29
EVID_10-M1,10,1,Collignon et al. (2018),Anthropological and socioeconomic factors contributing to global antimicrobial resistance: a univariate and multivariable analysis,Results and discussion integration,Socio-ecological mediation,全球103个国家大肠杆菌(E. coli)、肺炎克雷伯菌(Klebsiella spp)、金黄色葡萄球菌(S. aureus)(2008-2014年数据),"Multivariable regression analysis showed that an increase of 1 SD in the infrastructure index, governance index, and health expenditure resulted in significant decreases in E coli resistance and aggregate resistance (tables 2, 3)... We found no significant association between the climate index and antimicrobial resistance indices. Antibiotic consumption was also not significantly associated with either antimicrobial resistance index (figure 2). (Results-p.e401-e402); ""Our results indicated that poorer infrastructure (eg, poor sanitation) and poorer governance (eg, corruption) were consistently associated with higher levels of antimicrobial resistance. Low health expenditure was also associated with higher levels of antimicrobial resistance. Surprisingly, after adjusting for these three measures, high GDP per person and high education levels were also associated with higher antimicrobial resistance levels. Also surprising was that antibiotic consumption was not strongly associated with antimicrobial resistance levels."" (Discussion-p.e402); ""Our data suggest that globally, a high prevalence of antimicrobial resistance can be more likely attributed to the dissemination of antimicrobial resistance, especially via poor sanitation and contaminated potable water. This expectation is supported by the strong association between the infrastructure index and E coli resistance because E coli are faecal bacteria and their presence in water indicates human or animal faecal contamination."" (Discussion-p.e402); ""For example, we would see E coli resistance levels fall by 18.6% for every 1 SD improvement in the infrastructure index. Additionally, we would see a 5.5% decrease in E coli resistance levels if the governance index were improved by 1 SD."" (Discussion-p.e402)",Observational,Indirect empirical support,Promoting AMR,Observational cumulative/seasonal,Mixed or unspecified,2025-12-23
EVID_10-M2,10,2,Collignon et al. (2018),Anthropological and socioeconomic factors contributing to global antimicrobial resistance: a univariate and multivariable analysis,Results and discussion integration,Socio-ecological mediation,全球103个国家大肠杆菌(E. coli)、肺炎克雷伯菌(Klebsiella spp)、金黄色葡萄球菌(S. aureus)(2008-2014年数据),"Surprisingly, we found that antibiotic consumption was poorly correlated with antimicrobial resistance levels. This was also true when we analysed our resistance indices against older published consumption data. Whereas developed regions, such as Europe, showed a correlation between antimicrobial resistance levels and antibiotic usage, this was not evident from the global data. A possible explanation is that antibiotic volumes are not a factor until a country reaches a medium or high level of social and economic development. More importantly, other factors such as water quality and sanitation levels are likely to have a greater effect than antibiotic consumption volumes. This is an important issue for countries where large groups of people have trouble accessing antibiotics. Our data suggest that the relationship between antibiotic consumption and population resistance levels varies across the world. (Discussion-p.e404); ""Total health-care expenditure was strongly and inversely correlated with both antimicrobial resistance indices; by contrast, the ratio of private to public health expenditure was strongly and positively correlated... These data have substantial ramifications for public health spending in regions like Africa and south Asia."" (Discussion-p.e403); ""In Brazil, the density of private health clinics was associated with higher antibiotic consumption, an effect that might reflect the regulatory environment—ie, private clinics might follow public health rules and guidelines less often, or regulators with oversight might not restrict the types and quantities of antibiotics used in these clinics."" (Discussion-p.e403)",Observational,Indirect empirical support,Promoting AMR,Observational cumulative/seasonal,Mixed or unspecified,2025-12-23
EVID_10-M3,10,3,Collignon et al. (2018),Anthropological and socioeconomic factors contributing to global antimicrobial resistance: a univariate and multivariable analysis,Results and discussion integration,Socio-ecological mediation,全球103个国家大肠杆菌(E. coli)、肺炎克雷伯菌(Klebsiella spp)、金黄色葡萄球菌(S. aureus)(2008-2014年数据),"Among measures of climate, average temperature was strongly and positively correlated with both antimicrobial resistance indices, whereas there was a poor correlation with precipitation (appendix)... We found no significant association between the climate index and antimicrobial resistance indices. An increase of 1 SD in the climate index resulted in a non-significant increase in E coli resistance but a non-significant decrease in aggregate resistance (table 3). (Results-p.e401-e402); ""There was a univariate correlation with temperature and antimicrobial resistance: the warmer the country, the higher its antimicrobial resistance levels. This correlation might, however, be biased; some cold countries with very good governance and social support (eg, Scandinavian countries and Canada) have low antimicrobial resistance levels, whereas Russia is similarly cold but has antimicrobial resistance levels higher than most other countries (perhaps correlating with poor governance and corruption). The correlation with temperature is an interesting finding, but whether this is a socioeconomic factor (poorer infrastructure in hotter areas) or has to do with temperature per se remains unclear. However, in some environments (eg, waterways), warm temperatures offer more potential for bacteria to multiply and transfer antimicrobial resistance genes at high frequencies. Warmer temperatures are also associated with higher insect populations, which have played a part in disseminating resistant bacteria. Data on national climate (average temperature and rainfall) did not have a significant correlation with antimicrobial resistance but might not capture climatic variations that occur within even some reasonably small countries. More detailed analysis examining the effect of climate will require subnational data. Precipitation had a weaker correlation than did temperature; however, precipitation might not be a reliable indicator of flooding, which can spread antimicrobial resistance bacteria throughout communities."" (Discussion-p.e404)",Observational,Indirect empirical support,Uncertain,Observational cumulative/seasonal,Mixed or unspecified,2025-12-23
EVID_10-M4,10,4,Collignon et al. (2018),Anthropological and socioeconomic factors contributing to global antimicrobial resistance: a univariate and multivariable analysis,Discussion theoretical interpretation,Socio-ecological mediation,全球103个国家大肠杆菌(E. coli)、肺炎克雷伯菌(Klebsiella spp)、金黄色葡萄球菌(S. aureus)(2008-2014年数据),"The dissemination of antimicrobial resistance can be described as a two-step process. First, de-novo mutations or acquisition of resistance genes, or both, occurs via mobile genetic elements, such as plasmids mediating an antimicrobial-resistance phenotype. Second, antimicrobial resistance contagion—the spread of resistant strains—proceeds via several vectors (eg, human beings, insects, birds, agriculture, and water). Selection pressure caused by antibiotic consumption is an important primary factor not only for the de-novo emergence of antimicrobial resistance but also for the selective multiplication of resistant bacteria. Reducing inappropriate antibiotic consumption is a recognised policy priority, and substantial efforts are focused on controlling antibiotic usage volumes in hospitals, the community, and the agricultural sector. Although antibiotic usage has been shown to be an important driver for increasing antimicrobial resistance levels, the spread of resistant bacteria or the genes that encode for resistance are likely to be much more important in the dissemination and prevalence of antimicrobial resistance. The environment (including transmission via water, insects, animals, and birds) plays an underappreciated part in the development and spread of resistant bacteria. (Introduction-p.e398); ""Reduction of antibiotic consumption will not be sufficient to control antimicrobial resistance because contagion—the spread of resistant strains and resistance genes—seems to be the dominant contributing factor. Improving sanitation, increasing access to clean water, and ensuring good governance, as well as increasing public health-care expenditure and better regulating the private health sector are all necessary to reduce global antimicrobial resistance."" (Interpretation-p.e399); ""Our data suggest that globally, a high prevalence of antimicrobial resistance can be more likely attributed to the dissemination of antimicrobial resistance, especially via poor sanitation and contaminated potable water. This expectation is supported by the strong association between the infrastructure index and E coli resistance because E coli are faecal bacteria and their presence in water indicates human or animal faecal contamination."" (Discussion-p.e402)",Observational,Indirect empirical support,Promoting AMR,Observational cumulative/seasonal,Mixed or unspecified,2025-12-23
EVID_11-M1,11,1,Zheng (2018),High-throughput profiling of seasonal variations of antibiotic resistance gene transport in a peri-urban river,Results,Environment-mediated pathways,河流水体微生物群落,"“Results showed that the absolute abundance of ARGs in the spring was
signiﬁcantly (Kruskal–Wallis tests, P < 0.05 or P < 0.01) lower
(0.12–0.36 times) than that of samples from other seasons (Fig. 3a).
Besides, the absolute abundance of ARGs in the summer was the highest
(2.81×109 copies/L on average) for the whole year. Notably, the same
trend was observed for local air temperature in 2016: June
(21–26 °C) > September (18–21 °C) > December (6–13 °C) > March
(2–5 °C). The water temperature proved to be an important factor
driving the bacterial community dynamics (Kim et al. 2014). Further-
more, the bacterial community shift contributed the most to the ARG
variation (Jia et al. 2015; Su et al. 2015; Zhou et al. 2017)”",Observational,Indirect empirical support,Promoting AMR,Observational cumulative/seasonal,Other/unclear,2025-12-29
EVID_12-M1,12,1,Chen (2019),High-throughput profiling of antibiotic resistance gene dynamic in a drinking water river-reservoir system,Results and discussion integration,Environment-mediated pathways,河流-水库水体微生物群落（非特定病原体）,"“However, the absolute abundance of 16S rRNA, ARGs and MGEs
varied with the seasonal variations and their higher abundance
were all in the spring (Fig. 3A""C). Considering the fact that rainfall
in the spring (rainfall ¼316.0 mm) was far greater than summer
(rainfall ¼217.8 mm) and autumn (rainfall ¼ 28.5 mm) (Table S2),”",Observational,Indirect empirical support,Promoting AMR,Observational cumulative/seasonal,Other/unclear,2025-12-29
EVID_12-M2,12,2,Chen (2019),High-throughput profiling of antibiotic resistance gene dynamic in a drinking water river-reservoir system,Discussion interpretation,Environment-mediated pathways,河流-水库水体微生物群落（非特定病原体）,"“these suggested that more rainfall could increase the absolute
abundance of ARGs and MGEs in the river-reservoir system
attributed to storm-driven transport, which probably contributed
to the entry of ARGs and MGEs from domestic wastewater and
agricultural runoff into aquatic environment (Marti et al., 2014).
Also, this finding was consistent with previous studies in other
catchments”",Theoretical/projection,Theoretical support,Promoting AMR,Event-based,Other/unclear,2025-12-29
EVID_13-M1,13,1,Duff_2019,Land Use and Environmental Variables Influence Tetracycline-Resistant Bacteria Occurrence in Southeastern Coastal Plain Streams,Review synthesis,Environment-mediated pathways,Escherichia coli (E. coli)," Precipitation also displays
relationships with antibiotic-resistant E. coli in streams, likely
due to intrusion of nonpoint sources of AMR in surface runoff
(Maal-Bared et al., 2013).",Review-based,Review-based support,Promoting AMR,Observational cumulative/seasonal,Built or engineered environment,2025-12-29
EVID_13-M2,13,2,Duff_2019,Land Use and Environmental Variables Influence Tetracycline-Resistant Bacteria Occurrence in Southeastern Coastal Plain Streams,Results and discussion integration,Direct biological mechanisms,Escherichia coli (E. coli),"The WWTP discharges could have contributed to increased tetracy-
cline-resistant E. coli indirectly by creating conditions conducive to
tetracycline-resistant E. coli growth and persistence in the receiv-
ing streams. For example, temperature, conductivity, and nutrient
concentration (phosphate and sulfate) correlated with percentage
tetracycline-resistant E. coli in the present study. These environ-
mental variables are generally associated with WWTP effluent
(Daniel et al., 2002; Kinouchi et al., 2007; Carey and Migliaccio,",Observational,Indirect empirical support,Promoting AMR,Observational cumulative/seasonal,Built or engineered environment,2025-12-29
EVID_13-M3,13,3,Duff_2019,Land Use and Environmental Variables Influence Tetracycline-Resistant Bacteria Occurrence in Southeastern Coastal Plain Streams,Discussion theoretical interpretation,Environment-mediated pathways,Escherichia coli (E. coli),"""One possible reason is that environmental variables, such as precipitation, may have had a disproportionately larger effect on presence of tetracycline-resistant E. coli and percent-
age tetracycline-resistant E. coli than land use. Prior to the October
sampling, a hurricane dramatically increased precipitation and ter-
restrial runoff, likely transporting bacteria from greater distances
than typically occurs in drier months (Hyland et al., 2003; Sanders
et al., 2013; Keen et al., 2018)""",Theoretical/projection,Theoretical support,Promoting AMR,Observational cumulative/seasonal,Built or engineered environment,2025-12-29
EVID_14-M1,14,1,Fang_2019,Decoupling the Dynamics of Bacterial Taxonomy and Antibiotic Resistance Function in a Subtropical Urban Reservoir as Revealed by High-Frequency Sampling,Results and discussion integration,Environment-mediated pathways,未限定（bacterioplankton群落）,"In addition, rainfall significantly influenced pathogenic bacterial abundance because stormwater was able to significantly contribute to the occurrence and elevated concentration of pathogenic bacteria in subtropical waters (Ahmed et al., 2018). Our results further showed that turbidity was strongly correlated to richness and diversity of bacteria and ARGs. A turbidity increase is normally associated with rainfall-induced contamination, suspended particulate matter and sediment disturbance. This
may further drive changes in bacterial community and ARG profiles. It has been demonstrated that turbidity was significantly correlated to bacterial diversity, reiterating the influence ofruno� on the bacterial community (Peter and Sommaruga, 2016).
Taken together, our results indicated that precipitation had both direct and indirect e�ects on bacterial taxonomic communities and resistomes, supporting the idea that stormwater with agriculture/urban runo�, with contaminants from the urban region could increase loadings of bacterial ARGs thereby increasing the risk of ARGs dissemination (Garner et al.,
2017)",Observational,Indirect empirical support,Promoting AMR,Observational cumulative/seasonal,Built or engineered environment,2025-12-29
EVID_14-M2,14,2,Fang_2019,Decoupling the Dynamics of Bacterial Taxonomy and Antibiotic Resistance Function in a Subtropical Urban Reservoir as Revealed by High-Frequency Sampling,Results and discussion integration,Environment-mediated pathways,未限定（环境细菌群落/潜在外源菌）," Environmental factors including salinity, total carbon, nitrate nitrogen, total phosphorus and precipitation influenced the temporal variation of ARGs, while precipitation was
the strongest factor. A recent study reported that nutrients explained a large part of ARGs variation and that the nutrients combined with other factors could drive the distribution of
ARGs (Zhao et al., 2017). The seasonal stormwater runo induced by rainfall can increase the absolute abundance of ARGs and MGEs in an aquatic environment (Chen et al.,
2019) and could influence the ARGs load through increased input from runo� and soil resuspension (Di Cesare et al.,2017). In",Theoretical/projection,Theoretical support,Promoting AMR,Observational cumulative/seasonal,Built or engineered environment,2025-12-29
EVID_015-M1,15,1,Pärnänen (2019),Antibiotic resistance in European wastewater treatment plants mirrors the pattern of clinical antibiotic resistance prevalence,Results and discussion integration,Direct biological mechanisms,污水处理厂进出水微生物群落（未特定病原体）,"Antibiotic use, environmental temperature, and UWTP size were important factors related with resistance persistence and spread in the environment. (p.1, Abstract)",Observational,Indirect empirical support,Promoting AMR,Other/unclear,Built or engineered environment,2025-12-29
EVID_015-M2,15,2,Pärnänen (2019),Antibiotic resistance in European wastewater treatment plants mirrors the pattern of clinical antibiotic resistance prevalence,Discussion theoretical interpretation,Direct biological mechanisms,未特定（讨论举例：P. aeruginosa、Acinetobacter spp.）,"Hence, it is not surprising that these bacteria survive better in the environment in regions with warmer temperatures. In a recent study, MacFadden et al. (23) demonstrated that an increase of 10°C across regions coincided with higher antibiotic resistance percentage of 4.2% for E. coli, 2.2% for K. pneumoniae, and 2.7% for S. aureus. Together with antibiotic use, and eventually with higher impact than that of antibiotic use, temperature may be a major driver of antibiotic resistance persistence and proliferation in the environment. (p.8, Discussion)",Theoretical/projection,Theoretical support,Promoting AMR,Other/unclear,Built or engineered environment,2025-12-29
EVID_015-M3,15,3,Pärnänen (2019),Antibiotic resistance in European wastewater treatment plants mirrors the pattern of clinical antibiotic resistance prevalence,Discussion theoretical interpretation,Environment-mediated pathways,污水处理过程中的ARG宿主细菌群落,"This observation may be related to the dynamics of the ARG bacterial hosts during treatment (13, 14), influenced by operational conditions (e.g., temperature) and microbiota composition. (p.7, Discussion)",Theoretical/projection,Theoretical support,Uncertain,Other/unclear,Built or engineered environment,2025-12-29
EVID_016-M1,16,1,Yang (2019),Bacterial community and climate change implication affected the diversity and abundance of antibiotic resistance genes in wetlands on the Qinghai-Tibetan Plateau,Results,Environment-mediated pathways,湿地沉积物/土壤细菌群落（ARG潜在宿主）,"Soil moisture and soil total carbon were positively correlated (p < 0.05) with five classes of ARGs conferring resistance to sulfonamide, vancomycin, MLSB, others, and FCA. Average temperature, soil ammonium, and soil temperature were positively correlated (p < 0.05) with 2–3 class of ARGs. The environmental variables in group II had no significant correlations with any class of ARGs. The 32 ARGs conferring resistance to all major kinds of antibiotics were found to have a positive correlation with soil moisture (p < 0.05). (p.6, Results)",Observational,Indirect empirical support,Promoting AMR,Other/unclear,Other/unclear,2025-12-29
EVID_016-M2,16,2,Yang (2019),Bacterial community and climate change implication affected the diversity and abundance of antibiotic resistance genes in wetlands on the Qinghai-Tibetan Plateau,Results and discussion integration,Direct biological mechanisms,湿地土壤细菌群落,"Dynamic moisture changes in soils have been shown to accelerate the susceptibility of the soil microbial community to antibiotics [68]. Soil moisture in the studied wetlands was also positively correlated with ARG abundance, which may indicate that soil moisture is not only a factor for microbial communities but also accelerate the transfer of ARGs among the bacteria community. (p.9, Discussion)",Theoretical/projection,Theoretical support,Promoting AMR,Other/unclear,Other/unclear,2025-12-29
