result_record_id,study_reference_id,within_study_result_no,study_label,author_year,pathogen,exposure,region_world_bank,region_who,income_level,sample_size,effect_type,estimate,ci_lower,ci_upper,analysis_type
RID_8-7,8,7,MacFadden et al. (2018),MacFadden et al. (2018),S. aureus,Minimum temperature,North America,Region of the Americas,,365941,Beta coefficient (% per °C),0.305,0.111,0.499,Beta
RID_8-8,8,8,MacFadden et al. (2018),MacFadden et al. (2018),S. aureus,Minimum temperature,North America,Region of the Americas,,365941,Beta coefficient (% per °C),0.571,0.182,0.96,Beta
RID_8-9,8,9,MacFadden et al. (2018),MacFadden et al. (2018),S. aureus,Minimum temperature,North America,Region of the Americas,,365941,Beta coefficient (% per °C),0.273,-0.152,0.698,Beta
RID_8-10,8,10,MacFadden et al. (2018),MacFadden et al. (2018),S. aureus,Minimum temperature,North America,Region of the Americas,,365941,Beta coefficient (% per °C),0.405,0.201,0.609,Beta
RID_8-11,8,11,MacFadden et al. (2018),MacFadden et al. (2018),S. aureus,Minimum temperature,North America,Region of the Americas,,365941,Beta coefficient (% per °C),0.762,0.378,1.146,Beta
RID_8-12,8,12,MacFadden et al. (2018),MacFadden et al. (2018),S. aureus,Minimum temperature,North America,Region of the Americas,,365941,Beta coefficient (% per °C),0.514,0.255,0.773,Beta
RID_8-13,8,13,MacFadden et al. (2018),MacFadden et al. (2018),E. coli,Minimum temperature,North America,Region of the Americas,,1079485,Beta coefficient (% per °C),0.98,0.486,1.474,Beta
RID_8-14,8,14,MacFadden et al. (2018),MacFadden et al. (2018),E. coli,Minimum temperature,North America,Region of the Americas,,1079485,Beta coefficient (% per °C),0.31,-0.037,0.657,Beta
RID_8-15,8,15,MacFadden et al. (2018),MacFadden et al. (2018),E. coli,Minimum temperature,North America,Region of the Americas,,1079485,Beta coefficient (% per °C),0.64,0.317,0.963,Beta
RID_8-16,8,16,MacFadden et al. (2018),MacFadden et al. (2018),E. coli,Minimum temperature,North America,Region of the Americas,,1079485,Beta coefficient (% per °C),0.06,-0.036,0.156,Beta
RID_8-17,8,17,MacFadden et al. (2018),MacFadden et al. (2018),E. coli,Minimum temperature,North America,Region of the Americas,,1079485,Beta coefficient (% per °C),0.26,0.113,0.407,Beta
RID_8-18,8,18,MacFadden et al. (2018),MacFadden et al. (2018),E. coli,Minimum temperature,North America,Region of the Americas,,1079485,Beta coefficient (% per °C),0.15,-0.044,0.344,Beta
RID_8-19,8,19,MacFadden et al. (2018),MacFadden et al. (2018),E. coli,Minimum temperature,North America,Region of the Americas,,1079485,Beta coefficient (% per °C),0.19,-0.253,0.633,Beta
RID_8-20,8,20,MacFadden et al. (2018),MacFadden et al. (2018),E. coli,Minimum temperature,North America,Region of the Americas,,1079485,Beta coefficient (% per °C),0.61,0.302,0.918,Beta
RID_8-21,8,21,MacFadden et al. (2018),MacFadden et al. (2018),E. coli,Minimum temperature,North America,Region of the Americas,,1079485,Beta coefficient (% per °C),0.56,-0.146,1.266,Beta
RID_8-22,8,22,MacFadden et al. (2018),MacFadden et al. (2018),E. coli,Minimum temperature,North America,Region of the Americas,,1079485,Beta coefficient (% per °C),0.67,0.25,1.09,Beta
RID_8-23,8,23,MacFadden et al. (2018),MacFadden et al. (2018),E. coli,Minimum temperature,North America,Region of the Americas,,1079485,Beta coefficient (% per °C),0.14,0.069,0.211,Beta
RID_8-24,8,24,MacFadden et al. (2018),MacFadden et al. (2018),K. pneumoniae,Minimum temperature,North America,Region of the Americas,,191331,Beta coefficient (% per °C),-0.12,-0.267,0.027,Beta
RID_8-25,8,25,MacFadden et al. (2018),MacFadden et al. (2018),K. pneumoniae,Minimum temperature,North America,Region of the Americas,,191331,Beta coefficient (% per °C),0.36,0.178,0.542,Beta
RID_8-26,8,26,MacFadden et al. (2018),MacFadden et al. (2018),K. pneumoniae,Minimum temperature,North America,Region of the Americas,,191331,Beta coefficient (% per °C),0.04,-0.017,0.097,Beta
RID_8-27,8,27,MacFadden et al. (2018),MacFadden et al. (2018),K. pneumoniae,Minimum temperature,North America,Region of the Americas,,191331,Beta coefficient (% per °C),0.45,0.223,0.677,Beta
RID_8-28,8,28,MacFadden et al. (2018),MacFadden et al. (2018),K. pneumoniae,Minimum temperature,North America,Region of the Americas,,191331,Beta coefficient (% per °C),0.19,0.094,0.286,Beta
RID_8-29,8,29,MacFadden et al. (2018),MacFadden et al. (2018),K. pneumoniae,Minimum temperature,North America,Region of the Americas,,191331,Beta coefficient (% per °C),0.02,-0.16,0.2,Beta
RID_8-30,8,30,MacFadden et al. (2018),MacFadden et al. (2018),K. pneumoniae,Minimum temperature,North America,Region of the Americas,,191331,Beta coefficient (% per °C),0.52,0.258,0.782,Beta
RID_8-31,8,31,MacFadden et al. (2018),MacFadden et al. (2018),K. pneumoniae,Minimum temperature,North America,Region of the Americas,,191331,Beta coefficient (% per °C),0.11,0.0,0.22,Beta
RID_8-32,8,32,MacFadden et al. (2018),MacFadden et al. (2018),K. pneumoniae,Minimum temperature,North America,Region of the Americas,,191331,Beta coefficient (% per °C),0.28,0.139,0.421,Beta
RID_8-33,8,33,MacFadden et al. (2018),MacFadden et al. (2018),K. pneumoniae,Minimum temperature,North America,Region of the Americas,,191331,Beta coefficient (% per °C),0.23,0.114,0.346,Beta
RID_8-34,8,34,MacFadden et al. (2018),MacFadden et al. (2018),S. aureus,Minimum temperature,North America,Region of the Americas,,365941,Beta coefficient (% per °C),0.51,-0.098,1.118,Beta
RID_8-35,8,35,MacFadden et al. (2018),MacFadden et al. (2018),S. aureus,Minimum temperature,North America,Region of the Americas,,365941,Beta coefficient (% per °C),0.29,0.143,0.437,Beta
RID_8-36,8,36,MacFadden et al. (2018),MacFadden et al. (2018),S. aureus,Minimum temperature,North America,Region of the Americas,,365941,Beta coefficient (% per °C),0.58,0.287,0.873,Beta
RID_8-37,8,37,MacFadden et al. (2018),MacFadden et al. (2018),S. aureus,Minimum temperature,North America,Region of the Americas,,365941,Beta coefficient (% per °C),0.54,0.267,0.813,Beta
RID_8-38,8,38,MacFadden et al. (2018),MacFadden et al. (2018),S. aureus,Minimum temperature,North America,Region of the Americas,,365941,Beta coefficient (% per °C),0.39,-0.18,0.96,Beta
RID_8-39,8,39,MacFadden et al. (2018),MacFadden et al. (2018),S. aureus,Minimum temperature,North America,Region of the Americas,,365941,Beta coefficient (% per °C),0.89,-0.351,2.131,Beta
RID_8-40,8,40,MacFadden et al. (2018),MacFadden et al. (2018),S. aureus,Minimum temperature,North America,Region of the Americas,,365941,Beta coefficient (% per °C),0.84,-0.161,1.841,Beta
RID_8-41,8,41,MacFadden et al. (2018),MacFadden et al. (2018),S. aureus,Minimum temperature,North America,Region of the Americas,,365941,Beta coefficient (% per °C),-0.07,-0.907,0.767,Beta
RID_19-2,19,2,Kaba et al. (2020),Kaba et al. (2020),S. aureus,Annual/Mean temperature,East Asia & Pacific,Western Pacific Region,,204132,Beta coefficient,0.022,0.012,0.032,Beta
RID_19-3,19,3,Kaba et al. (2020),Kaba et al. (2020),Other,Annual/Mean temperature,Europe & Central Asia,European Region,,512143,Beta coefficient,0.011,0.004,0.018,Beta
RID_19-4,19,4,Kaba et al. (2020),Kaba et al. (2020),Other,Annual/Mean temperature,Europe & Central Asia,European Region,,120535,Beta coefficient,0.025,0.006,0.044,Beta
RID_19-5,19,5,Kaba et al. (2020),Kaba et al. (2020),Other,Summer temperature,Europe & Central Asia,European Region,,85910,Beta coefficient,0.039,0.003,0.075,Beta
RID_19-6,19,6,Kaba et al. (2020),Kaba et al. (2020),P. aeruginosa,Annual/Mean temperature,Europe & Central Asia,European Region,High-income (HICs),85910,OR,2.03,1.03,3.99,RR/OR
RID_19-6,19,6,Kaba et al. (2020),Kaba et al. (2020),P. aeruginosa,Summer temperature,Europe & Central Asia,European Region,High-income (HICs),85910,OR,2.03,1.03,3.99,RR/OR
RID_19-7,19,7,Kaba et al. (2020),Kaba et al. (2020),S. aureus,Annual/Mean temperature,Europe & Central Asia,European Region,,,Beta coefficient,0.02,0.011,0.029,Beta
RID_21-1,21,1,McGough SF et al. (2020),McGough SF et al. (2020),Other,Minimum temperature,Europe & Central Asia,European Region,,3551202,Beta coefficient,-0.29,-0.71,0.14,Beta
RID_21-2,21,2,McGough SF et al. (2020),McGough SF et al. (2020),Other,Minimum temperature,Europe & Central Asia,European Region,,3551202,Beta coefficient,-0.22,-0.74,0.3,Beta
RID_21-3,21,3,McGough SF et al. (2020),McGough SF et al. (2020),Other,Minimum temperature,Europe & Central Asia,European Region,,3551202,Beta coefficient,-0.5,-1.14,0.13,Beta
RID_21-4,21,4,McGough SF et al. (2020),McGough SF et al. (2020),Other,Minimum temperature,Europe & Central Asia,European Region,,3551202,Beta coefficient,-0.15,-0.84,0.53,Beta
RID_21-5,21,5,McGough SF et al. (2021),McGough SF et al. (2021),Other,Minimum temperature,Europe & Central Asia,European Region,,797713,Beta coefficient,-1.07,-2.29,0.06,Beta
RID_21-6,21,6,McGough SF et al. (2022),McGough SF et al. (2022),Other,Minimum temperature,Europe & Central Asia,European Region,,797713,Beta coefficient,-1.23,-2.52,0.06,Beta
RID_21-7,21,7,McGough SF et al. (2023),McGough SF et al. (2023),Other,Minimum temperature,Europe & Central Asia,European Region,,797713,Beta coefficient,-1.34,-2.93,0.24,Beta
RID_21-12,21,12,McGough SF et al. (2028),McGough SF et al. (2028),S. aureus,Minimum temperature,Europe & Central Asia,European Region,,1529885,Beta coefficient,0.7,-0.25,1.65,Beta
RID_21-13,21,13,McGough SF et al. (2028),McGough SF et al. (2028),Other,Minimum temperature,Europe & Central Asia,European Region,,3551202,Beta coefficient,0.03,0.02,0.05,Beta
RID_21-14,21,14,McGough SF et al. (2028),McGough SF et al. (2028),Other,Minimum temperature,Europe & Central Asia,European Region,,3551202,Beta coefficient,0.05,0.04,0.07,Beta
RID_21-15,21,15,McGough SF et al. (2028),McGough SF et al. (2028),Other,Minimum temperature,Europe & Central Asia,European Region,,3551202,Beta coefficient,0.06,0.03,0.08,Beta
RID_21-16,21,16,McGough SF et al. (2028),McGough SF et al. (2028),Other,Minimum temperature,Europe & Central Asia,European Region,,3551202,Beta coefficient,0.0,-0.03,0.02,Beta
RID_21-17,21,17,McGough SF et al. (2028),McGough SF et al. (2028),Other,Minimum temperature,Europe & Central Asia,European Region,,797713,Beta coefficient,0.04,-0.02,0.1,Beta
RID_21-18,21,18,McGough SF et al. (2028),McGough SF et al. (2028),Other,Minimum temperature,Europe & Central Asia,European Region,,797713,Beta coefficient,0.09,0.03,0.15,Beta
RID_21-19,21,19,McGough SF et al. (2028),McGough SF et al. (2028),Other,Minimum temperature,Europe & Central Asia,European Region,,797713,Beta coefficient,0.12,0.04,0.19,Beta
RID_21-24,21,24,McGough SF et al. (2028),McGough SF et al. (2028),S. aureus,Minimum temperature,Europe & Central Asia,European Region,,1529885,Beta coefficient,-0.04,-0.23,0.15,Beta
RID_27-2,27,2,Feldman et al. (2022),Feldman et al. (2022),E. coli,Annual/Mean temperature,Middle East & North Africa,European Region,High-income (HICs),8983,IRR,1.01,1.0,1.02,RR/OR
RID_27-4,27,4,Feldman et al. (2022),Feldman et al. (2022),E. coli,Annual/Mean temperature,Middle East & North Africa,European Region,High-income (HICs),8970,IRR,1.01,1.0,1.02,RR/OR
RID_27-6,27,6,Feldman et al. (2022),Feldman et al. (2022),E. coli,Annual/Mean temperature,Middle East & North Africa,European Region,High-income (HICs),8973,IRR,1.01,1.0,1.02,RR/OR
RID_27-8,27,8,Feldman et al. (2022),Feldman et al. (2022),E. coli,Annual/Mean temperature,Middle East & North Africa,European Region,High-income (HICs),1528,IRR,1.01,0.99,1.03,RR/OR
RID_27-10,27,10,Feldman et al. (2022),Feldman et al. (2022),E. coli,Annual/Mean temperature,Middle East & North Africa,European Region,High-income (HICs),1521,IRR,1.0,0.98,1.02,RR/OR
RID_27-12,27,12,Feldman et al. (2022),Feldman et al. (2022),E. coli,Annual/Mean temperature,Middle East & North Africa,European Region,High-income (HICs),1524,IRR,1.0,0.98,1.02,RR/OR
RID_33-1,33,1,Li  et al. (2023),Li et al. (2023),A. baumannii,Annual/Mean temperature,East Asia & Pacific,Western Pacific Region,Upper-middle-income,141931,RR (Rate Ratio),1.0,0.93,1.08,RR/OR
RID_33-2,33,2,Li  et al. (2023),Li et al. (2023),K. pneumoniae,Annual/Mean temperature,East Asia & Pacific,Western Pacific Region,Upper-middle-income,179805,RR (Rate Ratio),1.14,1.07,1.23,RR/OR
RID_33-3,33,3,Li  et al. (2023),Li et al. (2023),P. aeruginosa,Annual/Mean temperature,East Asia & Pacific,Western Pacific Region,Upper-middle-income,138211,RR (Rate Ratio),1.06,1.03,1.08,RR/OR
RID_33-4,33,4,Li  et al. (2023),Li et al. (2023),A. baumannii,Annual/Mean temperature,East Asia & Pacific,Western Pacific Region,Upper-middle-income,141931,RR (Rate Ratio),1.02,0.91,1.14,RR/OR
RID_33-5,33,5,Li  et al. (2023),Li et al. (2023),A. baumannii,Annual/Mean temperature,East Asia & Pacific,Western Pacific Region,Upper-middle-income,141931,RR (Rate Ratio),1.01,0.91,1.12,RR/OR
RID_33-6,33,6,Li  et al. (2023),Li et al. (2023),K. pneumoniae,Annual/Mean temperature,East Asia & Pacific,Western Pacific Region,Upper-middle-income,179805,RR (Rate Ratio),0.92,0.7,1.2,RR/OR
RID_33-7,33,7,Li  et al. (2023),Li et al. (2023),K. pneumoniae,Annual/Mean temperature,East Asia & Pacific,Western Pacific Region,Upper-middle-income,179805,RR (Rate Ratio),0.93,0.75,1.16,RR/OR
RID_33-8,33,8,Li  et al. (2023),Li et al. (2023),P. aeruginosa,Annual/Mean temperature,East Asia & Pacific,Western Pacific Region,Upper-middle-income,138211,RR (Rate Ratio),0.99,0.91,1.08,RR/OR
RID_33-9,33,9,Li  et al. (2023),Li et al. (2023),P. aeruginosa,Annual/Mean temperature,East Asia & Pacific,Western Pacific Region,Upper-middle-income,138211,RR (Rate Ratio),1.09,1.02,1.18,RR/OR
RID_33-10,33,10,Li  et al. (2023),Li et al. (2023),K. pneumoniae,Annual/Mean temperature,East Asia & Pacific,Western Pacific Region,Upper-middle-income,179805,RR (Rate Ratio),1.131,1.041,1.229,RR/OR
RID_33-11,33,11,Li  et al. (2023),Li et al. (2023),P. aeruginosa,Annual/Mean temperature,East Asia & Pacific,Western Pacific Region,Upper-middle-income,138211,RR (Rate Ratio),1.075,1.029,1.123,RR/OR
RID_33-12,33,12,Li  et al. (2023),Li et al. (2023),K. pneumoniae,Annual/Mean temperature,East Asia & Pacific,Western Pacific Region,Upper-middle-income,179805,RR (Rate Ratio),1.17,1.07,1.28,RR/OR
RID_33-13,33,13,Li  et al. (2023),Li et al. (2023),P. aeruginosa,Winter temperature,East Asia & Pacific,Western Pacific Region,Upper-middle-income,138211,RR (Rate Ratio),1.03,1.01,1.05,RR/OR
RID_39-1,39,1,Zeng et al. (2023),Zeng et al. (2023),K. pneumoniae,Annual/Mean temperature,East Asia & Pacific,Western Pacific Region,Upper-middle-income,1005622217,RR,1.047,1.031,1.082,RR/OR
RID_39-2,39,2,Zeng et al. (2023),Zeng et al. (2023),K. pneumoniae,Annual/Mean temperature,East Asia & Pacific,Western Pacific Region,Upper-middle-income,1005622217,RR,1.107,1.011,1.211,RR/OR
RID_39-3,39,3,Zeng et al. (2023),Zeng et al. (2023),K. pneumoniae,Annual/Mean temperature,East Asia & Pacific,Western Pacific Region,Upper-middle-income,1005622,RR,1.044,1.006,1.083,RR/OR
RID_39-4,39,4,Zeng et al. (2023),Zeng et al. (2023),K. pneumoniae,Annual/Mean temperature,East Asia & Pacific,Western Pacific Region,Upper-middle-income,1005622,RR,1.218,1.101,1.348,RR/OR
RID_39-5,39,5,Zeng et al. (2023),Zeng et al. (2023),K. pneumoniae,Annual/Mean temperature,East Asia & Pacific,Western Pacific Region,Upper-middle-income,1005622,RR,1.044,1.002,1.088,RR/OR
RID_39-6,39,6,Zeng et al. (2023),Zeng et al. (2023),K. pneumoniae,Annual/Mean temperature,East Asia & Pacific,Western Pacific Region,Upper-middle-income,1005622,RR,1.17,1.047,1.307,RR/OR
RID_39-7,39,7,Zeng et al. (2023),Zeng et al. (2023),K. pneumoniae,Summer temperature,East Asia & Pacific,Western Pacific Region,Upper-middle-income,1005622,RR,1.028,1.01,1.047,RR/OR
RID_39-8,39,8,Zeng et al. (2023),Zeng et al. (2023),K. pneumoniae,Summer temperature,East Asia & Pacific,Western Pacific Region,Upper-middle-income,1005622,RR,1.031,0.986,1.078,RR/OR
RID_39-9,39,9,Zeng et al. (2023),Zeng et al. (2023),K. pneumoniae,Summer temperature,East Asia & Pacific,Western Pacific Region,Upper-middle-income,1005622,RR,1.026,1.001,1.052,RR/OR
RID_39-10,39,10,Zeng et al. (2023),Zeng et al. (2023),K. pneumoniae,Summer temperature,East Asia & Pacific,Western Pacific Region,Upper-middle-income,1005622,RR,1.095,1.033,1.162,RR/OR
RID_39-11,39,11,Zeng et al. (2023),Zeng et al. (2023),K. pneumoniae,Summer temperature,East Asia & Pacific,Western Pacific Region,Upper-middle-income,1005622,RR,1.02,0.988,1.054,RR/OR
RID_39-12,39,12,Zeng et al. (2023),Zeng et al. (2023),K. pneumoniae,Summer temperature,East Asia & Pacific,Western Pacific Region,Upper-middle-income,1005622,RR,1.134,1.051,1.225,RR/OR
RID_39-13,39,13,Zeng et al. (2023),Zeng et al. (2023),K. pneumoniae,Winter temperature,East Asia & Pacific,Western Pacific Region,Upper-middle-income,1005622,RR,1.004,0.997,1.011,RR/OR
RID_39-14,39,14,Zeng et al. (2023),Zeng et al. (2023),K. pneumoniae,Winter temperature,East Asia & Pacific,Western Pacific Region,Upper-middle-income,1005622,RR,1.003,0.982,1.024,RR/OR
RID_41-34,41,34,Zhou et al. (2023),Zhou et al. (2023),Other,Annual/Mean temperature,Global,Global,,,Beta coefficient,-0.0256,-0.0824,0.0312,Beta
RID_41-36,41,36,Zhou et al. (2023),Zhou et al. (2023),Other,Annual/Mean temperature,Global,Global,,,Beta coefficient,0.00242,-0.0548,0.0596,Beta
RID_41-37,41,37,Zhou et al. (2023),Zhou et al. (2023),S. aureus,Annual/Mean temperature,Global,Global,,,Beta coefficient,0.684,0.2766,1.0914,Beta
RID_41-38,41,38,Zhou et al. (2023),Zhou et al. (2023),Other,Annual/Mean temperature,Global,Global,,,Beta coefficient,0.221,0.0529,0.3891,Beta
RID_41-39,41,39,Zhou et al. (2023),Zhou et al. (2023),Other,Annual/Mean temperature,Global,Global,,,Beta coefficient,-0.0384,-0.1142,0.0374,Beta
RID_41-40,41,40,Zhou et al. (2023),Zhou et al. (2023),Other,Annual/Mean temperature,Global,Global,,,Beta coefficient,-0.129,-0.2418,-0.0162,Beta
RID_46-1,46,1,Sun et al. (2024),Sun et al. (2024),Other,Other temperature,East Asia & Pacific,Western Pacific Region,,244,Standardized beta coefficient,0.272,0.11,0.434,Beta
RID_46-2,46,2,Sun et al. (2024),Sun et al. (2024),Other,Other temperature,East Asia & Pacific,Western Pacific Region,,244,Standardized beta coefficient,0.183,0.015,0.351,Beta
RID_46-3,46,3,Sun et al. (2024),Sun et al. (2024),Other,Maximum temperature,East Asia & Pacific,Western Pacific Region,,244,Standardized beta coefficient,0.128,0.007,0.249,Beta
RID_55-1,55,1,Kou (2025),Kou (2025),K. pneumoniae,Annual/Mean temperature,East Asia & Pacific,Western Pacific Region,Upper-middle-income,907538,RR,1.097,1.069,1.126,RR/OR
RID_55-2,55,2,Kou (2025),Kou (2025),P. aeruginosa,Annual/Mean temperature,East Asia & Pacific,Western Pacific Region,Upper-middle-income,468690,RR,1.003,0.994,1.012,RR/OR
RID_55-3,55,3,Kou (2025),Kou (2025),A. baumannii,Annual/Mean temperature,East Asia & Pacific,Western Pacific Region,Upper-middle-income,366748,RR,1.021,1.012,1.03,RR/OR
RID_55-4,55,4,Kou (2025),Kou (2025),K. pneumoniae,Summer temperature,East Asia & Pacific,Western Pacific Region,Upper-middle-income,907538,RR,1.129,1.104,1.155,RR/OR
RID_55-5,55,5,Kou (2025),Kou (2025),P. aeruginosa,Summer temperature,East Asia & Pacific,Western Pacific Region,Upper-middle-income,468690,RR,0.999,0.991,1.007,RR/OR
RID_55-6,55,6,Kou (2025),Kou (2025),A. baumannii,Summer temperature,East Asia & Pacific,Western Pacific Region,Upper-middle-income,366748,RR,1.035,1.013,1.058,RR/OR
RID_55-7,55,7,Kou (2025),Kou (2025),K. pneumoniae,Winter temperature,East Asia & Pacific,Western Pacific Region,Upper-middle-income,907538,RR,1.046,1.008,1.085,RR/OR
RID_55-8,55,8,Kou (2025),Kou (2025),P. aeruginosa,Winter temperature,East Asia & Pacific,Western Pacific Region,Upper-middle-income,468690,RR,1.003,0.995,1.011,RR/OR
RID_55-9,55,9,Kou (2025),Kou (2025),A. baumannii,Winter temperature,East Asia & Pacific,Western Pacific Region,Upper-middle-income,366748,RR,1.008,0.991,1.026,RR/OR
RID_55-10,55,10,Kou (2025),Kou (2025),K. pneumoniae,Annual/Mean temperature,East Asia & Pacific,Western Pacific Region,Upper-middle-income,545000,RR,0.892,0.84,0.947,RR/OR
RID_55-11,55,11,Kou (2025),Kou (2025),P. aeruginosa,Annual/Mean temperature,East Asia & Pacific,Western Pacific Region,Upper-middle-income,281000,RR,0.94,0.882,1.002,RR/OR
RID_55-12,55,12,Kou (2025),Kou (2025),A. baumannii,Annual/Mean temperature,East Asia & Pacific,Western Pacific Region,Upper-middle-income,220000,RR,1.002,0.963,1.043,RR/OR
RID_55-13,55,13,Kou (2025),Kou (2025),K. pneumoniae,Annual/Mean temperature,East Asia & Pacific,Western Pacific Region,Upper-middle-income,362000,RR,1.163,1.11,1.219,RR/OR
RID_55-14,55,14,Kou (2025),Kou (2025),P. aeruginosa,Annual/Mean temperature,East Asia & Pacific,Western Pacific Region,Upper-middle-income,188000,RR,1.021,0.979,1.065,RR/OR
RID_55-15,55,15,Kou (2025),Kou (2025),A. baumannii,Annual/Mean temperature,East Asia & Pacific,Western Pacific Region,Upper-middle-income,147000,RR,1.029,1.007,1.051,RR/OR
RID_55-16,55,16,Kou (2025),Kou (2025),Other,Other temperature,East Asia & Pacific,Western Pacific Region,,907538,Beta coefficient,0.022,-0.146,0.19,Beta
RID_55-17,55,17,Kou (2025),Kou (2025),Other,Other temperature,East Asia & Pacific,Western Pacific Region,,907538,Beta coefficient,-0.058,-0.226,0.11,Beta
RID_55-18,55,18,Kou (2025),Kou (2025),Other,Other temperature,East Asia & Pacific,Western Pacific Region,,907538,Beta coefficient,-0.115,-0.269,0.039,Beta
RID_55-19,55,19,Kou (2025),Kou (2025),Other,Other temperature,East Asia & Pacific,Western Pacific Region,,907538,Beta coefficient,-0.175,-0.33,-0.02,Beta
RID_55-20,55,20,Kou (2025),Kou (2025),Other,Other temperature,East Asia & Pacific,Western Pacific Region,,907538,Beta coefficient,-0.086,-0.223,0.051,Beta
RID_55-21,55,21,Kou (2025),Kou (2025),Other,Other temperature,East Asia & Pacific,Western Pacific Region,,468690,Beta coefficient,-0.001,-0.137,0.135,Beta
RID_55-22,55,22,Kou (2025),Kou (2025),Other,Other temperature,East Asia & Pacific,Western Pacific Region,,468690,Beta coefficient,0.019,-0.047,0.085,Beta
RID_55-23,55,23,Kou (2025),Kou (2025),Other,Other temperature,East Asia & Pacific,Western Pacific Region,,468690,Beta coefficient,0.009,-0.053,0.071,Beta
RID_55-24,55,24,Kou (2025),Kou (2025),Other,Other temperature,East Asia & Pacific,Western Pacific Region,,468690,Beta coefficient,0.019,-0.043,0.081,Beta
RID_55-25,55,25,Kou (2025),Kou (2025),Other,Other temperature,East Asia & Pacific,Western Pacific Region,,468690,Beta coefficient,-0.012,-0.065,0.041,Beta
RID_55-26,55,26,Kou (2025),Kou (2025),Other,Other temperature,East Asia & Pacific,Western Pacific Region,,366748,Beta coefficient,-0.014,-0.07,0.042,Beta
RID_55-27,55,27,Kou (2025),Kou (2025),Other,Other temperature,East Asia & Pacific,Western Pacific Region,,366748,Beta coefficient,-0.018,-0.072,0.036,Beta
RID_55-28,55,28,Kou (2025),Kou (2025),Other,Other temperature,East Asia & Pacific,Western Pacific Region,,366748,Beta coefficient,-0.032,-0.08,0.016,Beta
RID_55-29,55,29,Kou (2025),Kou (2025),Other,Other temperature,East Asia & Pacific,Western Pacific Region,,366748,Beta coefficient,-0.024,-0.073,0.025,Beta
RID_55-30,55,30,Kou (2025),Kou (2025),Other,Other temperature,East Asia & Pacific,Western Pacific Region,,366748,Beta coefficient,-0.016,-0.059,0.027,Beta
RID_56-1,56,1,Li (2025),Li (2025),E. coli,Annual/Mean temperature,Global,Global,Global (mixed),8527728,OR,0.95,0.87,1.03,RR/OR
RID_56-5,56,5,Li (2025),Li (2025),K. pneumoniae,Annual/Mean temperature,Global,Global,Global (mixed),4973588,OR,0.96,0.89,1.04,RR/OR
